ID,Nama Bahan,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
8220,"Ubi Jalar, kentang goreng, beku dalam kemasan, garam ditambahkan dalam pemrosesan","51,97",182,"2,16","8,92","1,38","35,58","5,7","12,90",52,"0,77",26,59,409,146,"0,38","0,177","0,481","0,4","7,5","0,092","0,092","0,697","0,460","0,177",32,26,-,8.674,434,-,-,5.204,-,-,8,"1,49",-,-,"4,6","1,157","3,703","2,863",-
8221,"Ubi Jalar, Prancis goreng, potong, beku, tidak siap","60,59",209,"1,70","11,10","1,09","25,52","3,4","6,46",39,"0,44",-,-,244,214,-,-,-,-,"4,2",-,-,-,-,-,-,-,-,3.32,-,-,-,-,-,-,-,-,-,-,-,"0,930",-,-,-
8222,"Ubi jalar, beku, tidak siap","63,02",161,"1,36","3,58","1,32","30,72","1,9","7,65",57,"0,40",-,-,248,250,-,-,-,-,"2,2",-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,"0,310",-,-,-
8223,"Kentang, berdaging kuning, dipanggang, garam ditambahkan dalam pemrosesan, beku, tidak siap","70,96",119,"1,99","1,85","1,76","23,44","2,6","0,31",11,"0,45",-,-,444,338,-,-,-,-,"6,0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,153",-,-,-
8224,"Kentang, berdaging kuning, Prancis goreng, beku, tidak siap","65,04",162,"2,47","5,84","1,64","25,01","2,2","0,37",9,"0,48",-,-,447,300,-,-,-,-,"10,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,427",-,-,-
8225,"Kentang, berdaging kuning, hash brown, parut, garam ditambahkan dalam pemrosesan, beku, tidak siap","78,34",81,"2,04","0,07","1,57","17,98","2,0","0,23",9,"0,31",-,-,398,330,-,-,-,-,"7,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,010",-,-,-
8226,"Kentang, kentang goreng, potongan irisan, beku, tidak siap","66,06",166,"2,56","7,47","1,69","22,22","2,4","0,34",14,"0,72",-,-,381,380,-,-,-,-,"5,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,843",-,-,-
8227,"Kentang, kentang goreng, potongan steak, garam tidak ditambahkan dalam pemrosesan, beku, tidak siap","69,01",138,"2,40","3,42","0,86","24,31","2,4","0,21",13,"0,83",-,-,360,30,-,-,-,-,"6,9",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,880",-,-,-
8228,"Kentang, kentang goreng, potongan silang, beku, tidak siap","62,36",193,"2,70","10,00","1,99","22,95","2,3","0,49",13,"0,87",-,-,310,393,-,-,-,-,"5,7",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,590",-,-,-
8229,"Smoothie Sayur, Jus Naked, Kale Blazer","91,67",28,"0,80","0,07","0,46","7,00","0,7","6,05",33,"0,25",15,22,178,13,"0,08","0,033","0,230","0,8","3,9","0,100","0,105","0,330",-,"0,055",33,"0,4",-,374,19,-,7,213,16,-,479,"0,80",-,-,"269,7","0,027","0,013","0,028",-
8230,"Akar jahe, acar, kalengan, dengan pemanis buatan","92,30",20,"0,33","0,10","2,44","4,83","2,6",-,74,"0,28",4,2,36,906,"0,04","0,018","0,468","0,4",-,"0,020","0,015","0,022","0,148","0,037",1,11,-,-,-,-,-,-,-,-,-,"0,18",-,-,"2,2","0,037","0,020","0,034",-
8231,"Cabai pedas, panas, kalengan","90,20",22,"0,80","0,40","4,04","4,56","2,6","1,60",61,"0,32",6,13,113,1.43,"0,09","0,045","0,052","0,4","12,3","0,037","0,023","0,343","0,200","0,105",13,9,-,870,43,-,163,440,1,-,585,"0,90",-,-,"21,9","0,061","0,023","0,143",-
8232,"Jus Sayuran, Bolthouse Farms, Setiap Hari Hijau","90,60",31,"0,49","0,04","0,74","8,13","1,2","5,37",110,"3,85",11,90,224,15,"3,47","0,022","0,848","0,3","10,1","0,060","0,025","0,200",-,"0,320",63,4,"0,97",2.048,602,600,6,26,-,-,111,"0,28",-,-,"11,7","0,015","0,009","0,015",-
8233,"Kentang, dihaluskan, siap dimakan","78,27",106,"1,97","5,01","1,46","13,29","1,9","1,76",34,"0,27",14,61,274,298,"0,30","0,011","0,091","26,9","0,1","0,085","0,088","1,020","0,405","0,109",6,14,"0,22",205,53,52,-,19,-,-,-,"0,29","0,1",2,"2,4","2,632","1,236","0,684","13,00"
8234,"Nasi dan campuran bihun, rasa daging sapi, tidak siap","8,27",359,"10,84","1,27","3,60","76,02","1,6","4,27",32,"2,82",34,125,169,1.337,"1,34","0,186","0,952","26,4","1,9","0,687","0,113","5,287","0,530","0,160",189,6,"0,05",1.403,70,-,292,696,-,-,22,"0,18",-,-,"2,4","0,310","0,283","0,382",-
8235,"Nasi dan campuran bihun, rasa daging sapi, disiapkan dengan 80% margarin","70,93",129,"2,82","3,20","1,01","22,03","0,6",-,10,"0,88",10,33,48,364,"0,42","0,054","0,261","7,5",-,"0,163","0,018","1,353","0,150","0,015",-,-,-,-,-,-,-,-,-,-,-,"0,27",-,-,-,"0,682","1,126","0,915",-
8236,"Nasi dan campuran bihun, bumbu pilaf, tanpa persiapan","8,04",359,"10,42","1,37","3,87","76,31","1,2","1,53",83,"2,44",32,154,188,1.303,"1,01","0,166","0,882","32,4","4,1","0,603","0,087","6,127","0,715","0,400",212,18,"0,02",14,4,4,-,1,-,-,28,"0,04",-,-,"0,5","0,307","0,373","0,377","1,00"
8237,"Nasi dan campuran bihun, bumbu pilaf, disiapkan dengan 80% margarin","66,47",148,"2,94","3,70","1,23","25,67","0,6","0,26",29,"0,85",11,48,69,430,"0,39","0,057","0,287","10,3",-,"0,167","0,027","1,853","0,245","0,133",-,-,-,129,39,39,-,-,-,-,-,"0,26",-,-,-,"0,744","1,539","1,268",-
8238,"Makaroni dan keju, campuran kotak dengan saus keju, tidak siap","26,88",334,"12,73","10,67","3,06","46,66","1,8","6,43",145,"2,07",34,391,197,766,"1,30","0,163","0,470","37,0","0,6","0,525","0,372","4,003",-,"0,113",134,25,"0,39",42,6,5,-,14,3,-,19,"1,48",-,-,"5,8","1,184","6,070","2,962","3,00"
8239,"Makaroni dan keju, campur kotak dengan saus keju, disiapkan","63,59",164,"6,68","4,99","1,64","23,10","1,2","1,57",85,"1,17",15,234,80,460,"0,65","0,067","0,224",-,-,"0,155","0,090","1,150","0,415","0,025",-,-,"0,27",72,22,22,-,-,-,-,-,"0,54",-,-,-,"1,636","2,216","1,044","8,00"
8240,"Taquitos, beku, ayam dan keju, dipanaskan dengan oven","42,74",284,"9,21","12,54","1,88","33,63","2,9","1,30",104,"2,47",24,132,155,453,"0,71","0,100","0,387","16,7",-,"0,331","0,277","3,850","0,481","0,140",68,16,"0,18",206,30,23,1,63,26,133,111,"1,13","0,1",3,"16,9","2,310","4,835","4,235","13,00"
8241,"Taquitos, beku, daging sapi dan keju, dipanaskan dengan oven","42,45",287,"9,40","12,79","1,89","33,46","2,8","1,66",97,"2,67",24,137,174,456,"1,05","0,102","0,362","15,4",-,"0,331","0,309","3,537","0,342","0,179",68,19,"0,28",284,35,25,1,103,36,413,119,"1,25",-,1,"22,0","2,621","5,127","4,187","11,00"
8242,"Campuran pasta, makaroni cheeseburger klasik, tidak siap","9,06",349,"11,60","1,88","5,94","71,51","2,7","4,97",28,"2,75",35,131,204,2.152,"0,82","0,140","0,655","37,8","2,3","0,860","0,433","5,703","0,595","0,127",122,9,"0,30",371,25,7,-,208,-,925,37,"0,43",-,-,"1,1","0,368","0,292","0,497","1,00"
8243,"Campuran pasta, daging sapi klasik, tidak siap","8,58",354,"12,32","1,78","5,12","72,20","2,0","4,95",21,"2,71",39,127,342,1.537,"0,99","0,163","0,657","43,2","2,6","2,360","0,423","5,240","0,570","0,133",127,5,"0,01",1,-,-,-,-,-,-,1,"0,33",-,-,"0,3","0,439","0,501","0,808",-
8244,"Campuran pasta, lasagna Italia, tidak siap","7,94",356,"10,90","1,97","5,41","73,77","2,8","11,27",52,"2,87",37,124,277,1.85,"0,84","0,154","0,582","24,9","0,9","0,700","0,427","5,577","0,600","0,160",113,10,"0,19",141,10,3,1,78,-,334,27,"0,81",-,-,"12,9","0,443","0,423","0,415","1,00"
8245,"Nasi kuning dengan bumbu, campuran paket kering, tidak siap","10,76",343,"7,02","1,75","5,79","74,68","1,8","1,75",35,"2,53",112,174,801,1.316,"1,21","0,272",-,"10,6",-,"0,395","0,128","3,509",-,"0,580",140,9,-,175,9,-,-,-,-,-,1,"0,25",-,-,"0,6",-,"0,430","0,833",-
8246,"Pizza roll, beku, tidak siap","27,86",328,"8,73","9,98","2,72","50,72","1,2","3,74",125,"1,80",20,137,301,599,"0,73","0,131",-,"12,1",-,"0,202","0,212","2,075","0,146","0,070",46,14,"0,26",519,67,50,7,209,-,6.53,4,"1,59",-,1,"4,6","2,494","3,849","2,853","6,00"
8247,"Potsticker atau pangsit, daging babi dan sayuran, beku, tidak siap","70,94",136,"8,28","5,52","1,99","13,28","1,4","2,76",28,"0,74",21,127,284,441,"1,67","0,034",-,"17,7","8,3","0,367","0,127","2,236","0,340","0,248",18,52,"0,26",78,5,1,-,45,-,-,21,"0,25","0,2",10,"55,0","1,724","2,519","0,782","17,00"
8248,"Makaroni atau mie dengan keju, dibuat dari campuran kemasan lemak yang berkurang, tidak siap","27,66",297,"13,10","4,03","3,15","52,06","2,0","5,04",202,"1,81",35,403,203,867,"1,34","0,168",-,"38,1",-,"0,540","0,383","4,118",-,"0,117",138,25,"0,40",101,30,30,-,5,1,-,7,"0,56",-,-,"2,2","0,409","2,291","1,119","15,00"
8249,"Pergantian, diisi keju, saus berbasis tomat, beku, tidak siap","50,38",235,"10,24","9,45","2,64","27,29","1,6","7,87",276,"1,85",23,47,179,598,"1,26","0,093",-,"14,9",-,"0,236","0,201","1,575",-,"0,095",63,15,"0,94",311,52,44,2,97,-,1.687,50,"0,79","0,1",5,"15,4","4,724","3,014","1,140","20,00"
8250,"Makaroni atau mie dengan keju, microwave, tidak siap","8,07",388,"11,48","6,56","3,15","70,75","1,6","8,20",328,"2,36",49,328,348,902,"1,23","0,193",-,"47,5",-,"1,040","0,626","3,882",-,"0,142",204,36,"0,77",336,99,98,-,5,-,-,15,"0,13",-,-,"0,2","2,814","1,625","1,987","8,00"
8251,"Campuran pasta, lasagna keju empat Italia, tidak siap","8,07",355,"12,53","2,70","6,43","70,26","2,6","6,70",55,"3,12",42,162,271,2.093,"0,98","0,164","0,688","36,9",-,"0,813","0,537","6,067","0,760","0,153",140,-,"0,52",126,38,38,-,-,-,-,-,"0,54",-,-,-,"0,697","0,546","0,519","1,00"
8252,"Campuran beras Spanyol, campuran kering, tidak siap","7,27",363,"10,62","1,62","4,04","76,45","3,1","3,83",29,"3,32",37,146,445,1.085,"1,03","0,190","0,790","33,1",-,"0,822","0,288","7,179","0,626","0,248",162,-,-,469,23,-,1,255,52,3.677,245,"0,86",-,-,"2,7","0,395","0,341","0,604",-
8253,"Lasagna, keju, beku, tidak siap","67,60",145,"5,06","4,22","1,51","21,61","1,7","3,80",84,"0,76",19,90,159,312,"0,63","0,119","0,241","16,8","1,5","0,172","0,127","1,354",-,"0,078",44,10,"0,10",199,23,15,2,87,-,2.779,28,"0,66",-,1,"3,1","2,110","1,077","0,618","11,00"
8254,"Ayam, paha, beku, dilapisi tepung roti, dipanaskan ulang","41,63",334,"18,66","22,45","3,03","14,23","0,1",-,75,"1,26",31,190,279,813,"1,39","0,119","0,288","25,7",-,"0,150","0,290","4,263","1,150","0,140",20,-,"0,54",125,37,37,-,-,-,-,-,"1,19",-,-,-,"5,207","10,123","4,813","87,00"
8255,Campuran nasi Spanyol dengan campuran minyak kanola / sayur atau tomat potong dadu dan margarin,"70,26",125,"3,27","2,38","1,35","22,74","1,5","1,79",18,"1,02",13,45,185,349,"0,30","0,061","0,221","9,6",-,"0,287","0,135","2,447","0,213","0,096",68,-,-,208,10,-,-,116,19,1.58,102,"0,67",-,-,"2,9","0,387","0,834","0,867",-
8256,"Kashi Three Cheese Ravioli dengan Saus Tomat Mediterania, Beku, Tidak Siap","69,30",131,"5,50","4,20","1,30","19,70","2,1","3,60",81,"0,80",-,4,149,269,-,-,-,-,-,-,-,"0,200",-,"0,020",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,800","1,500","0,600","16,00"
8257,"Kashi Mushroom & Asparagus Risotto, Beku, Tidak Siap","74,60",116,"4,30","3,70","0,40","17,00","2,6","1,30",67,"0,80",-,62,116,206,"0,30",-,-,-,-,"0,100",-,"0,400",-,"0,080",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,900","0,700","0,400","9,00"
8258,"Campuran nasi, rasa keju, campuran kering, tidak siap","8,74",362,"8,77","3,51","5,10","73,88","1,8","5,26",140,"4,74",88,369,351,1.193,"1,45","0,189",-,"24,8","2,1","0,263","0,671","5,263",-,"0,397",175,68,"0,56",25,6,6,-,3,-,-,72,"0,50",-,-,"20,5","1,754","0,750","0,667","9,00"
8259,"Pangsit, diisi kentang atau keju, beku","57,25",195,"5,26","6,14","1,70","29,64","0,9","1,75",35,"1,26",16,79,107,474,"0,44","0,063",-,"13,4","5,3","0,293","0,222","2,198",-,"0,062",64,10,"0,08",11,3,3,-,1,-,-,8,"0,98",-,-,"7,9","1,316","1,243","3,236","4,00"
8260,"Pergantian, ayam atau kalkun-, dan diisi sayuran, lemak berkurang, beku","63,32",168,"7,87","5,51","1,56","21,74","3,1","3,94",157,"2,13",31,161,167,276,"1,04","0,110",-,"18,9",-,"0,234","0,196","3,053",-,"0,231",48,9,"0,14",222,40,35,3,61,1,-,201,"0,43","0,1",3,"13,4","2,756","1,407","0,590","16,00"
8261,"Omset, diisi daging dan keju, saus berbasis tomat, mengurangi lemak, beku","51,23",215,"9,45","5,51","1,92","31,89","0,8","3,94",197,"2,13",18,202,117,378,"1,51","0,077",-,"20,9",-,"0,312","0,298","2,708",-,"0,109",58,21,"0,58",158,37,34,-,24,3,13,32,"0,13","0,1",5,"1,9","2,756","1,681","0,362","20,00"
8262,"Omset, diisi dengan telur, daging, dan keju, beku","57,21",228,"7,87","12,60","1,65","20,67","0,8","7,87",79,"2,13",16,111,177,378,"0,99","0,064",-,"14,0",-,"0,261","0,224","2,726",-,"0,084",46,29,"0,33",157,39,37,-,20,-,-,15,"0,65","0,4",15,"3,8","5,512","4,298","2,019","31,00"
8263,"Campuran beras, putih dan liar, beraroma, tidak siap","7,53",355,"10,53","0,88","4,93","76,14","1,8","1,75",105,"4,74",182,400,333,1.14,"5,39","0,530",-,"3,5",-,"0,658","0,302","7,018",-,"0,456",175,40,-,16,4,4,-,1,-,-,28,"1,47",-,-,"0,5",-,"0,180","0,570",-
8264,"Kashi Italian Medley Pasta Pasta, Beku, Tidak Siap","75,00",106,"4,70","2,60","1,40","16,30","2,7","2,90",62,"1,20",-,25,209,215,"0,20",-,-,-,-,-,-,"0,300",-,"0,040",20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,300","0,300","0,100","7,00"
8265,"Steak Salisbury dengan saus, beku","74,19",149,"6,98","10,47","1,58","6,78","1,0","0,26",47,"0,95",17,127,144,509,"0,75","0,083","0,174","7,5",-,"0,059","0,118","1,320","0,203","0,131",13,47,"0,41",5,2,2,-,-,-,-,-,"0,23",-,1,"1,7","3,982","4,798","1,483","33,00"
8266,"Biskuit sarapan sosis, telur, dan keju","44,12",324,"9,54","22,13","2,64","21,57","2,0","3,10",136,"1,85",16,298,269,591,"0,99","0,070","0,216","17,7","0,1","0,245","0,320","2,183",-,"0,123",52,94,"0,59",632,176,173,-,29,8,-,342,"1,56","0,7",27,"1,8","8,595","8,539","3,881","78,00"
8267,"Hungry Man, Steak Salisbury dengan Saus, Beku, Tidak Siap","75,17",136,"7,96","8,53","1,38","6,96","1,3","0,18",29,"1,02",19,106,195,379,"1,12","0,078","0,203","8,1",-,"0,076","0,130","1,445","0,220","0,113",-,-,"0,77",-,-,-,-,-,-,-,-,"0,10",-,-,-,"3,426","3,933","0,533","26,00"
8268,"Banquet, Salisbury Steak dengan Saus, Ukuran Keluarga, Beku, Tidak Disiapkan","73,47",155,"6,89","11,10","1,58","6,96","1,0","0,28",51,"0,98",17,135,142,517,"0,73","0,084","0,173","7,7",-,"0,062","0,120","1,380",-,"0,140",13,-,"0,38",-,-,-,-,-,-,-,-,"0,29",-,-,-,"4,282","5,158","1,656","36,00"
8269,"Jimmy Dean, Sosis, Telur, dan Keju Sarapan Biskuit, Beku, Tidak Dipersiapkan","44,06",328,"9,29","22,90","2,68","21,07","2,0","3,10",137,"1,84",15,302,292,589,"0,94","0,068","0,180","17,7",-,"0,245","0,320","2,183",-,"0,123",52,-,"0,64",-,-,-,-,-,-,-,-,-,-,-,-,"8,595","8,539","3,881","85,00"
8270,"Susu Formula Bayi, Mead Johnson, Enfamil, Premium, Newborn, Powder","2,50",514,"10,80","27,00","3,00","57,00",-,"57,00",400,"9,20",41,220,550,138,"5,10","0,380","77,000","14,4","62,0","0,410","0,720","5,100","26,000","0,310",82,123,"1,54",1.557,467,467,-,-,-,-,-,"4,50","9,5",380,"46,0","7,787","6,968","3,586",-
8271,"Susu Formula Bayi, Mead Johnson, Enfamil, Lipil Premium, Bayi, Bubuk","2,40",510,"10,80","27,00","3,00","57,00",-,"57,00",390,"9,20",41,220,550,138,"5,10","0,380","0,077","14,4","62,0","0,410","0,720","5,000","2,600","0,310",81,121,"1,54",1.525,458,458,-,-,-,-,-,"6,90","7,5",300,"46,0","11,161","9,987","5,213",-
8272,"Susu Formula Bayi, Mead Johnson, Enfamil, Lipil Premium, Bayi, Konsentrat Cair, Tidak Dilarutkan","75,20",129,"2,73","6,83","0,35","14,42",-,"14,42",101,"2,33",10,56,139,35,"1,29","0,096","0,019","3,6","15,7","0,104","0,182","1,291","0,658","0,078",12,31,"0,39",394,118,118,-,-,-,-,-,"1,17","1,0",40,"11,6","2,824","2,527","1,319",-
8273,"Susu Formula Bayi, Mead Johnson, Enfamil, Premium, Bayi, Konsentrat Cair, Tidak Dilarutkan","75,34",129,"2,72","7,10","0,35","14,34",-,"14,34",101,"2,32",10,55,138,35,"1,28","0,096",-,"3,6","15,6","0,103","0,181","1,283",-,"0,078",12,31,"0,39",395,118,118,-,-,-,-,-,"1,17","1,0",40,"11,6","2,943","2,633","1,355",-
8274,"Susu Formula Bayi, Mead Johnson, Enfamil, Enfagrow, Gentlease, Balita, Lipil, Bubuk","4,50",494,"12,90","26,00","4,70","52,00",-,"52,00",970,"9,90",40,650,650,200,"5,00","0,370","0,075","13,9","60,0","0,400","0,700","5,000","2,500","0,300",80,119,"1,49",1.505,452,452,-,-,-,-,-,"4,46","7,5",300,"45,0","11,760","0,231","5,464",-
8275,"Susu Formula Bayi, Gerber, Mulai Baik, Protect Plus, Bedak","2,00",512,"11,30","26,10","3,70","57,00",-,"57,00",343,"7,70",36,195,553,138,"4,10","0,410","0,077","15,0","51,0","0,512","0,717","5,376","2,304","0,384",77,123,"1,70",1.55,465,465,-,-,-,-,-,"4,50","7,7",307,"41,0","10,936","9,490","5,055",-
8276,"Susu Formula Bayi, Gerber Baik Mulai 2, Gentle Plus, Bubuk","2,50",492,"10,80","25,10","4,00","57,10",-,"57,10",935,"9,80",34,522,531,133,"3,90","0,394","0,074","15,0","59,0","0,492","0,689","5,166","2,214","0,369",74,118,"1,60",1.49,447,447,-,-,-,-,-,"4,41","7,4",295,"39,0","10,517","9,126","4,862",-
8277,"Susu Formula Bayi, Gerber, Baik Mulai 2, Protect Plus, Bedak","2,90",501,"11,10","25,70","4,40","56,30",-,"56,30",956,"10,00",36,543,553,138,"4,10","0,410","0,077","15,0","61,0","0,512","0,717","5,376","2,304","0,384",77,123,"1,70",1.523,457,457,-,-,-,-,-,"4,50","7,7",307,"41,0","11,016","9,559","5,092",-
8278,"Susu Formula Bayi, Mead Johnson, Enfamil, Enfagrow, Kedelai, Balita, Lipil, Bubuk","2,60",470,"15,70","21,00","4,50","56,00",-,"56,00",930,"9,50",52,620,570,171,"5,70","0,360","0,240","13,3","57,0","0,380","0,430","4,700","2,400","0,280",76,114,"1,42",1.433,430,430,-,-,-,-,-,"4,28","7,0",280,"38,0","6,218","5,283","2,765",-
8279,"Susu Formula Bayi, Nutrisi Abbott, Similac, Pergi dan Tumbuh, Bubuk, dengan Ara dan Dha","2,00",512,"15,36","27,65","2,60","52,20",-,"52,20",998,"10,20",46,666,768,154,"3,84","0,461","0,026","9,2","61,0","0,512","0,768","5,376","2,304","0,307",77,82,"1,54",1.55,465,465,-,-,-,-,-,"10,30","7,7",307,"41,0","11,430","10,227","5,338",-
8280,"Susu Formula Bayi, Gerber, Baik Mulai 2 Kacang, dengan Besi, Bubuk","2,90",501,"12,50","25,60","3,40","55,60",-,"55,60",526,"9,00",55,316,581,200,"4,50","0,401","55,000","15,0","60,0","0,301","0,471","5,261","2,505","0,301",80,120,"1,70",1.517,455,455,-,-,-,-,-,"6,75","7,5",301,"45,0","11,043","8,132","6,024",-
8281,"Susu Formula Bayi, Mead Johnson, Enfamil, Nutramigen, Aa Lipil, Bubuk, Tidak Dilarutkan","4,00",500,"14,00","26,00","4,50","51,00",-,"51,00",470,"9,00",55,260,550,230,"5,00","0,370","0,300","13,9","60,0","0,400","0,450","5,000","2,500","0,300",80,119,"1,49",1.503,451,451,-,-,-,-,-,"4,46","6,3",250,"40,0","10,813","9,475","5,096",-
8282,"Susu Formula Bayi, Mead Johnson, Enfamil, Prematur, 20 Kalori, Siap Saji, Rendah Zat Besi","87,50",66,"1,97","3,34","0,52","7,21",-,"7,23",108,"0,33",6,54,64,38,"0,98","0,079","0,004","1,8","13,1","0,131","0,197","2,623","0,787","0,098",26,13,"0,16",833,250,250,-,-,-,-,-,"1,86","3,9",157,"5,2","1,679","0,021","1,164",-
8283,"Susu Formula Bayi, Mead Johnson, Enfamil, Prematur, 24 Kalori, Siap Saji, Rendah Zat Besi","87,23",67,"1,97","3,34","0,27","7,19",-,"7,21",108,"0,33",6,54,64,38,"0,98","0,079","0,004","1,8","13,1","0,131","0,197","2,623","0,787","0,098",26,13,"0,16",828,248,248,-,-,-,-,-,"1,86","3,9",157,"5,2","1,339","0,850","1,169",-
8284,"Susu Formula Bayi, Mead Johnson, Enfamil, Premium, Bayi, Siap Makan","87,78",66,"1,38","3,48","0,32","7,39",-,"7,39",51,"1,18",5,28,71,18,"0,66","0,049","0,009","1,8","7,9","0,053","0,092","0,657","0,328","0,039",11,16,"0,20",199,60,60,-,-,-,-,-,"0,63","1,2",49,"5,9","1,027","0,919","0,480",-
8285,"Susu Formula Bayi, Mead Johnson, Enfamil, Premium, Bayi, Bubuk","2,40",510,"10,80","27,00","3,00","57,00",-,"57,00",390,"9,20",41,220,550,138,"5,10","0,380","0,077","14,4","62,0","0,410","0,720","5,000","2,600","0,310",81,121,"1,54",1.525,458,458,-,-,-,-,-,"6,90","7,5",300,"46,0","11,161","9,987","5,213",-
8286,"Makanan bayi, Gerber, Pisang dengan Medley Oranye","77,91",86,"1,06",-,"0,62","20,41","2,1","14,27",-,"0,23",18,19,265,10,"0,12","0,099","0,156","0,7","24,5","0,033","0,057","0,654","0,265","0,232",31,9,-,557,28,-,15,322,8,1,28,"0,49",-,-,"2,3",-,-,-,-
8287,"Makanan bayi, Makanan Ringan Jari, Gerber, Lulusan, Lil Crunchies - Mild Cheddar","1,64",513,"8,26","27,76","4,73","57,61","5,2","1,60",789,"24,15",85,661,244,623,"25,43","0,124","0,448","10,1",-,"0,117","0,173","1,523","0,340","0,428",20,16,"0,70",88,4,-,7,31,37,-,660,"14,67",-,-,"1,4","5,200","7,093","11,678",-
8288,"Agutuk, ikan / beri dengan minyak segel (Es krim Alaska) (asli Alaska)","47,30",353,"3,40","31,80","4,10","13,40","0,5",-,8,"0,30",7,46,70,21,"0,18","0,030","0,130",-,"2,9","0,040","0,050","0,550","0,020","0,010",3,-,-,696,-,-,-,-,-,-,-,"2,36",-,-,-,"7,700","14,400","8,400","10,00"
8289,"Agutuk, daging karibu (es krim Alaska) (asli Alaska)","55,20",258,"21,70","18,60","3,60","0,90",-,-,16,"4,55",20,170,228,95,"3,83","0,190","0,060",-,"2,2","0,180","0,660","4,260","1,950","0,230",4,-,"4,83",559,-,-,-,-,-,-,-,-,-,-,-,"5,100","8,700","3,600","89,00"
8290,Ascidia (tunughnak) (alaska asli),"90,40",20,"3,80","0,50","3,10",-,-,-,47,"3,30",-,-,102,656,-,-,-,-,-,-,"0,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,100","0,120","0,200","7,00"
8291,"Beruang, hitam, daging (asli Alaska)","71,20",155,"20,10","8,30","0,40",-,-,-,-,"7,20",-,162,-,-,-,-,-,-,-,"0,160","0,680","3,200",-,-,-,-,-,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8292,"Beruang, kutub, daging, mentah (asli Alaska)","70,30",130,"25,60","3,10","1,00",-,-,-,17,"6,10",-,-,40,-,-,-,-,-,"2,0","0,023","0,573","4,000",-,-,-,-,-,1.4,-,-,-,-,-,-,-,-,-,-,-,"0,630","2,000","0,460",-
8293,"Paus, beluga, daging, kering (asli Alaska)","22,39",327,"69,86","5,34","2,69",-,-,-,22,"72,35",63,549,800,220,"7,80","0,320","0,130","103,0",-,"0,039","0,519","15,200","1,680","0,131",10,132,"7,31",-,-,-,-,-,-,-,-,"0,27",-,-,-,"1,204","3,345","0,319","122,00"
8294,"Paus, beluga, mata (asli Alaska)","55,10",291,"19,60","23,30","1,30",-,-,-,-,-,-,187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.87,561,561,-,-,-,-,-,-,-,-,-,-,-,-,-
8295,"Paus, beluga, daging, mentah (asli Alaska)","72,50",111,"26,50","0,50","0,60",-,-,-,7,"25,90",22,239,283,78,"2,76","0,113","0,046","36,5",-,"0,014","0,184","5,386","0,595","0,046",4,35,"2,59",340,102,102,-,-,-,-,-,-,-,-,-,"0,092","0,337","0,025","80,00"
8296,"Paus, beluga, sirip, mentah (asli Alaska)","57,50",271,"19,00","21,70","1,80",-,-,-,11,"2,80",-,153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,930,279,279,-,-,-,-,-,-,-,-,-,-,-,-,-
8297,"Paus, beluga, hati, mentah (asli Alaska)","74,60",117,"18,40","3,90","1,10","2,00",-,-,11,-,-,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8298,"Minyak, beluga, paus (asli Alaska)",-,900,-,"100,00",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,0",-,-,-,-,-,-,-,-,-,2.31,694,-,-,-,-,-,-,"8,27","5,7",228,-,"14,490","54,190","10,800",-
8299,"Blackberry, liar, mentah (asli Alaska)","88,05",52,"0,84","1,07","0,21","9,84","3,2","3,65",5,"0,21",4,11,75,6,"0,15","0,222","0,287",-,"4,7","0,060","0,144","0,314","1,258","0,039",11,-,-,46,5,-,-,27,-,-,-,"0,91",-,-,"5,9",-,-,-,-
